gamma,state,value,sample_std,stderr,ci_lower_95,ci_upper_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.4,Computer,4.621872289611593,2.700396657185348,0.27003966571853477,4.092594544803265,5.1511500344199215,1,20,100,monte_carlo
0.4,Coffee,3.0020761326290297,1.3762530868739316,0.13762530868739314,2.7323305276017393,3.27182173765632,2,20,100,monte_carlo
0.4,Home,1.916384903420641,0.3787632791140106,0.03787632791140106,1.842147300714295,1.990622506126987,3,20,100,monte_carlo
0.4,Chat,1.258804915266699,2.1698869825181366,0.21698869825181366,0.8335070666931441,1.6841027638402537,4,20,100,monte_carlo
0.45,Computer,4.170068272867961,3.331542361405538,0.33315423614055384,3.5170859700324755,4.823050575703446,1,20,100,monte_carlo
0.45,Coffee,2.897405072615328,1.2742183029425067,0.12742183029425067,2.6476582852385966,3.1471518599920594,2,20,100,monte_carlo
0.45,Home,2.163907673251004,0.5257389304840161,0.05257389304840161,2.0608628428761366,2.266952503625871,3,20,100,monte_carlo
0.45,Chat,1.4075161935397926,2.125185785491507,0.2125185785491507,0.9909797795834572,1.824052607496128,4,20,100,monte_carlo
0.5,Computer,4.815361862182617,3.178537954911536,0.3178537954911536,4.192368423019956,5.438355301345278,1,20,100,monte_carlo
0.5,Coffee,3.281229476928711,1.631017200198422,0.1631017200198422,2.9615501056898204,3.6009088481676015,2,20,100,monte_carlo
0.5,Home,2.454966583251953,0.6511767864016049,0.06511767864016049,2.3273359331172387,2.5825972333866676,3,20,100,monte_carlo
0.5,Chat,1.450333595275879,2.1809348978472944,0.21809348978472945,1.0228703552978091,1.8777968352539487,4,20,100,monte_carlo
0.55,Computer,5.079004054310788,3.7351624552325933,0.37351624552325935,4.3469122130852,5.8110958955363765,1,20,100,monte_carlo
0.55,Coffee,3.5404729326677824,1.7616700559927567,0.17616700559927567,3.1951856016932023,3.8857602636423625,2,20,100,monte_carlo
0.55,Home,2.674247749442937,0.7220139100234878,0.07220139100234878,2.5327330230783334,2.8157624758075404,3,20,100,monte_carlo
0.55,Chat,1.7176233231257836,2.387956282519424,0.2387956282519424,1.2495838917519766,2.1856627544995906,4,20,100,monte_carlo
0.6000000000000001,Computer,6.240168006423553,3.4838217165359726,0.34838217165359725,5.557338949982502,6.922997062864604,1,20,100,monte_carlo
0.6000000000000001,Coffee,3.9520240387328056,2.006064534624812,0.20060645346248118,3.5588353899463425,4.345212687519268,2,20,100,monte_carlo
0.6000000000000001,Home,3.0795255319988253,0.7853866446428307,0.07853866446428306,2.9255897496488306,3.23346131434882,3,20,100,monte_carlo
0.6000000000000001,Chat,2.5146944444564174,2.940929629032207,0.2940929629032207,1.938272237166105,3.09111665174673,4,20,100,monte_carlo
0.65,Computer,6.366272284775222,3.758786857763499,0.3758786857763499,5.6295500606535755,7.102994508896868,1,20,100,monte_carlo
0.65,Coffee,4.352616998472309,2.2040248267265663,0.22040248267265664,3.920628132433902,4.7846058645107155,2,20,100,monte_carlo
0.65,Home,3.690957232132963,1.261631732203634,0.12616317322036338,3.4436774126210508,3.9382370516448755,3,20,100,monte_carlo
0.65,Chat,3.4315806393417296,3.097748208332928,0.3097748208332928,2.8244219905084758,4.038739288174984,4,20,100,monte_carlo
0.7000000000000001,Computer,7.18629004144766,4.1270916924800956,0.41270916924800954,6.3773800697215615,7.995200013173759,1,20,100,monte_carlo
0.7000000000000001,Coffee,5.506262460914586,2.6597845187832805,0.265978451878328,4.984944695233063,6.027580226596109,2,20,100,monte_carlo
0.7000000000000001,Home,4.491675242638638,1.6313002696921424,0.16313002696921425,4.171940389778978,4.811410095498298,3,20,100,monte_carlo
0.7000000000000001,Chat,3.190675686803089,2.984444064718265,0.29844440647182646,2.6057246501183093,3.775626723487869,4,20,100,monte_carlo
0.75,Computer,7.881964032167198,4.4238969905298715,0.44238969905298714,7.014880222023343,8.749047842311052,1,20,100,monte_carlo
0.75,Coffee,6.633245163096472,3.3723451483450004,0.33723451483450007,5.972265514020852,7.294224812172092,2,20,100,monte_carlo
0.75,Home,5.002437779502579,2.0446065585289235,0.20446065585289236,4.60169489403091,5.403180664974249,3,20,100,monte_carlo
0.75,Chat,4.361251361185059,3.729569263736688,0.37295692637366884,3.6302557854926683,5.09224693687745,4,20,100,monte_carlo
0.8,Computer,9.011649570110876,4.638375961130345,0.4638375961130345,8.102527881729328,9.920771258492424,1,20,100,monte_carlo
0.8,Coffee,8.383154066737974,3.6026248478826948,0.3602624847882695,7.677039596552966,9.089268536922983,2,20,100,monte_carlo
0.8,Home,6.58721190367286,2.250530414168468,0.2250530414168468,6.14610794249584,7.02831586484988,3,20,100,monte_carlo
0.8,Chat,6.330972866833322,4.135469616509274,0.4135469616509274,5.520420821997504,7.141524911669139,4,20,100,monte_carlo
0.8500000000000001,Computer,13.246111534718017,5.2496924283146935,0.5249692428314694,12.217171818768337,14.275051250667696,1,20,100,monte_carlo
0.8500000000000001,Coffee,9.66693523139111,4.44558026574476,0.444558026574476,8.795601499305137,10.538268963477082,2,20,100,monte_carlo
0.8500000000000001,Home,8.378644407435642,3.2330105652072594,0.32330105652072594,7.744974336655019,9.012314478216265,3,20,100,monte_carlo
0.8500000000000001,Chat,7.690036390959194,4.598666912692472,0.45986669126924723,6.78869767607147,8.591375105846918,4,20,100,monte_carlo
0.9,Computer,15.640008100456058,6.402590362547792,0.6402590362547792,14.38510038939669,16.894915811515425,1,20,100,monte_carlo
0.9,Coffee,13.64079261061462,5.60125143377095,0.5601251433770951,12.542947329595513,14.738637891633726,2,20,100,monte_carlo
0.9,Home,12.057314536465784,4.815071667206501,0.48150716672065014,11.11356048969331,13.001068583238258,3,20,100,monte_carlo
0.9,Chat,11.35815158424843,5.661616349812678,0.5661616349812678,10.248474779685145,12.467828388811716,4,20,100,monte_carlo
0.9500000000000001,Computer,20.751380470512814,8.304564773182486,0.8304564773182486,19.123685774969047,22.37907516605658,1,20,100,monte_carlo
0.9500000000000001,Coffee,19.038030640783887,7.536660474741137,0.7536660474741137,17.560845187734625,20.51521609383315,2,20,100,monte_carlo
0.9500000000000001,Home,18.693092640458204,6.688437676169656,0.6688437676169656,17.38215885592895,20.004026424987458,3,20,100,monte_carlo
0.9500000000000001,Chat,17.178094199394828,8.085257279106589,0.8085257279106589,15.593383772689936,18.76280462609972,4,20,100,monte_carlo
1.0,Computer,34.65,11.675213319704529,1.167521331970453,32.36165818933791,36.93834181066209,1,20,100,monte_carlo
1.0,Coffee,32.27,11.55474890346918,1.155474890346918,30.005269214920045,34.534730785079965,2,20,100,monte_carlo
1.0,Chat,27.72,12.597161777499123,1.2597161777499122,25.250956291610173,30.189043708389825,3,20,100,monte_carlo
1.0,Home,27.64,10.514559410453659,1.0514559410453659,25.57914635555108,29.70085364444892,4,20,100,monte_carlo
