gamma,state,value,rank_within_gamma,num_time_steps,method
0.88,Coffee,12.747415354762609,2,50,exact
0.88,Home,11.619821139840393,3,50,exact
0.88,Chat,11.343178316165334,4,50,exact
0.9,Computer,16.91398314729658,1,50,exact
0.9,Coffee,15.20628484437476,2,50,exact
0.9,Home,14.057534635612306,3,50,exact
0.9,Chat,13.811109291207782,4,50,exact
0.92,Computer,20.49455072477825,1,50,exact
0.92,Coffee,18.768608790335268,2,50,exact
0.92,Home,17.59698751974472,3,50,exact
0.92,Chat,17.38244887307915,4,50,exact
0.9400000000000001,Computer,25.960286333083545,1,50,exact
0.9400000000000001,Coffee,24.216781363514308,2,50,exact
0.9400000000000001,Home,23.020490003234777,3,50,exact
0.9400000000000001,Chat,22.83958394528157,4,50,exact
0.96,Computer,34.8102465979829,1,50,exact
0.96,Coffee,33.049921269935446,2,50,exact
0.96,Home,31.827073187908148,3,50,exact
0.96,Chat,31.68162532320101,4,50,exact
0.98,Computer,50.00909622735595,1,50,exact
0.98,Coffee,48.23275935574126,2,50,exact
0.98,Home,46.981376592604136,3,50,exact
0.98,Chat,46.87329532013778,4,50,exact
1.0,Computer,77.56693470497066,1,50,exact
1.0,Coffee,75.77546551065787,2,50,exact
1.0,Home,74.49347498933085,3,50,exact
1.0,Chat,74.42475461018392,4,50,exact
