gamma,state,value,sample_variance,sample_std,stderr,ci_lower_95,ci_upper_95,ci_width_95,rank_within_gamma,num_time_steps,num_trajectories,method
0.02,Home,1.0306159137396362,0.00015454282895763222,0.012431525608614262,0.0012431525608614263,1.0281793347203478,1.0330524927589246,0.004873158038576791,3,50,100,monte_carlo
0.02,Chat,0.2562210737240751,1.9044875374766577,1.380031716112589,0.1380031716112589,-0.014265142633992367,0.5267072900821426,0.5409724327161349,4,50,100,monte_carlo
0.02,Computer,2.7977862135824103,6.8644216670314515,2.6200041349264036,0.11717014694051939,2.5681327255789923,3.0274397015858283,0.459306976006836,1,50,500,monte_carlo
0.02,Coffee,2.077826911663414,0.3129990945781379,0.5594632200405474,0.025019955818431732,2.028787798259288,2.12686602506754,0.09807822680825239,2,50,500,monte_carlo
0.02,Home,1.0288305472333659,0.00016498911438325508,0.012844808849619175,0.000574437314914787,1.0277046500961329,1.0299564443705989,0.002251794274465965,3,50,500,monte_carlo
0.02,Chat,0.32927934923999536,1.9215741814219693,1.3862085634643762,0.06199313157797352,0.20777281134716724,0.45078588713282347,0.2430130757856562,4,50,500,monte_carlo
0.04,Computer,3.6503803447461154,3.346909585661512,1.829456090115724,0.5785248124031943,2.5164717124358544,4.784288977056376,2.2678172646205215,1,50,10,monte_carlo
0.04,Coffee,2.4754965780040146,0.5048604733752218,0.7105353428051427,0.2246910041312784,2.035102209906709,2.91589094610132,0.8807887361946113,2,50,10,monte_carlo
0.04,Home,1.058923245107659,0.0008259439952848275,0.028739241383252057,0.009088146099644456,1.0411104787523557,1.076736011462962,0.03562553271060627,3,50,10,monte_carlo
0.04,Chat,0.778724074758265,1.6406675805886959,1.2808854673969472,0.4050515498783699,-0.015176963003339927,1.5726251125198698,1.5878020755232098,4,50,10,monte_carlo
0.04,Computer,3.630962872929012,5.140628908469023,2.2672955053254578,0.506982687498746,2.63727680543147,4.624648940426554,1.9873721349950841,1,50,20,monte_carlo
0.04,Coffee,2.0284850836667605,0.2908235044263388,0.5392805433411619,0.12058679538538596,1.792134964711404,2.264835202622117,0.4727002379107129,2,50,20,monte_carlo
0.04,Home,1.0515735970049591,0.0002734589647185027,0.016536594713498384,0.003697694989574604,1.0443261148253928,1.0588210791845254,0.014494964359132449,3,50,20,monte_carlo
0.04,Chat,0.4233120111456653,2.1979340847428155,1.482543113957505,0.3315067182383198,-0.22644115660144148,1.073065178892772,1.2995063354942136,4,50,20,monte_carlo
0.04,Computer,2.8065951896955084,6.656706318079632,2.5800593632859754,0.36487549432867183,2.0914392208113117,3.521751158579705,1.4303119377683935,1,50,50,monte_carlo
0.04,Coffee,2.189514405599534,0.29390226181617835,0.5421275327966458,0.07666841094168814,2.0392443201538253,2.3397844910452426,0.3005401708914175,2,50,50,monte_carlo
0.04,Home,1.0629203077021536,0.0006721315536520399,0.025925500065611846,0.0036664193804092837,1.0557341257165513,1.070106489687756,0.014372363971204392,3,50,50,monte_carlo
0.04,Chat,0.2844484924268701,2.007398289530205,1.4168268382304892,0.20036957301597488,-0.10827587068444067,0.6771728555381809,0.7854487262226215,4,50,50,monte_carlo
0.04,Computer,2.684998589904396,7.07573374256616,2.6600251394613097,0.26600251394613095,2.1636336625699797,3.2063635172388127,1.0427298546688333,1,50,100,monte_carlo
0.04,Coffee,2.1094655231811026,0.2804148288908602,0.5295420935967794,0.05295420935967794,2.005675272836134,2.2132557735260714,0.20758050068993752,2,50,100,monte_carlo
0.04,Home,1.059260932373913,0.0006140830558221731,0.02478069926015352,0.002478069926015352,1.0544039153189229,1.0641179494289033,0.00971403410998018,3,50,100,monte_carlo
0.04,Chat,0.24530406965782292,1.8665225552871718,1.3662073617453434,0.13662073617453435,-0.022472573244264382,0.5130807125599102,0.5355532858041746,4,50,100,monte_carlo
0.04,Computer,2.890711264489923,6.987639500257756,2.6434143640862957,0.11821708421592671,2.6590057794267064,3.1224167495531394,0.4634109701264327,1,50,500,monte_carlo
0.04,Coffee,2.142728906261932,0.3245277964042854,0.5696734120566672,0.025476569486659124,2.09279483006808,2.192662982455784,0.09986815238770376,2,50,500,monte_carlo
0.04,Home,1.058773018243169,0.0005970362147219331,0.024434324519452814,0.0010927362121957275,1.0566312552672654,1.0609147812190725,0.004283525951807252,3,50,500,monte_carlo
0.04,Chat,0.41250432184580826,1.9536665915360067,1.3977362381851617,0.06250866486393718,0.2899873387124914,0.5350213049791251,0.24503396626663373,4,50,500,monte_carlo
0.06,Computer,3.965406367234833,2.679643727897227,1.6369617368458027,0.5176527530977911,2.9508069711631624,4.980005763306504,2.029198792143341,1,50,10,monte_carlo
0.06,Coffee,2.1003458708329683,0.54556591134084,0.7386243370894571,0.23357352404346685,1.6425417637077733,2.5581499779581636,0.9156082142503901,2,50,10,monte_carlo
0.06,Home,1.0942479026528855,0.0017507409754945963,0.04184185674052475,0.013231556883052713,1.068314051162102,1.120181754143669,0.051867702981566635,3,50,10,monte_carlo
0.06,Chat,0.11455114965522864,1.88798555126629,1.3740398652391022,0.43450955700263827,-0.7370875820699424,0.9661898813803996,1.703277463450342,4,50,10,monte_carlo
0.06,Computer,2.7001174702083253,7.240826112021912,2.6908783160934484,0.6016986833965117,1.5207880507511624,3.879446889665488,2.3586588389143257,1,50,20,monte_carlo
0.06,Coffee,2.03925942940359,0.4229596271294972,0.6503534632255733,0.14542345531747916,1.7542294569813308,2.3242894018258493,0.5700599448445183,2,50,20,monte_carlo
0.06,Home,1.1003492016520202,0.0012261247200323734,0.03501606374269349,0.007829829883312834,1.085002735080727,1.1156956682233135,0.03069293314258631,3,50,20,monte_carlo
0.06,Chat,0.5269491834882108,1.6155018467273434,1.2710239363313909,0.28420959226663545,-0.03010161735439465,1.0839999843308163,1.114101601685211,4,50,20,monte_carlo
0.06,Computer,2.6921259364615775,7.490583530550395,2.736893043315795,0.38705512606217723,1.9334978893797101,3.4507539835434446,1.5172560941637347,1,50,50,monte_carlo
0.06,Coffee,2.1850594419938,0.3680994837183784,0.6067120270098314,0.08580203770521751,2.0168874480915737,2.3532314358960265,0.3363439878044526,2,50,50,monte_carlo
0.06,Home,1.0855077095627694,0.0008476506732260612,0.0291144409739576,0.004117403728628178,1.0774375982546582,1.0935778208708806,0.016140222616222458,3,50,50,monte_carlo
